"scientificname"
"Handroanthus serratifolius"
"Hasseltia floribunda"
"Heliocarpus americanus"
"Henriettea goudotiana"
"Heptapleurum actinophyllum"
"Heptapleurum arboricola"
"Hevea guianensis"
"Hibiscus elatus"
"Himatanthus articulatus"
"Homalolepis cedron"
"Huertea glandulosa"
"Hura crepitans"
"Hymenaea courbaril"
"Hyophorbe lagenicaulis"
"Hyophorbe verschaffeltii"
"Inga edulis"
"Inga marginata"
"Inga spectabilis"
"Ixora finlaysoniana"
"Jacaranda caucana"
"Jacaranda copaia"
"Jacaranda hesperia"
"Jacaranda obtusifolia"
"Jacquinia arborea"
"Jatropha curcas"
"Jatropha integerrima"
"Joannesia princeps"
"Juglans cinerea"
"Juglans neotropica"
"Juniperus rigida"
"Kigelia africana"
"Koelreuteria elegans"
"Lacistema aggregatum"
"Ladenbergia oblongifolia"
"Laetia americana"
"Lafoensia acuminata"
"Lafoensia punicifolia"
"Lagerstroemia indica"
"Lagerstroemia speciosa"
"Lecythis tuyrana"
"Leucaena leucocephala"
"Leucaena magnifica"
"Leuenbergeria bleo"
"Libidibia coriaria"
"Libidibia punctata"
"Licania tomentosa (Benth.) Fritsch"
"Licuala grandis"
"Litchi chinensis"
"Livistona chinensis"
"Livistona decora"
"Livistona drudei"
"Lonchocarpus sericeus"
"Luehea seemannii"
"Luma apiculata"
"Macadamia integrifolia"
"Machaerium capote"
"Maclura tinctoria"
"Magnolia champaca"
"Magnolia delavayi"
"Malpighia emarginata"
"Malpighia glabra"
"Mammea americana"
"Mangifera indica"
"Manilkara zapota"
"Matayba elegans"
"Matisia cordata"
"Megaskepasma erythrochlamys"
"Melaleuca citrina"
"Melaleuca glauca"
"Melaleuca quinquenervia"
"Melia azedarach"
"Melicoccus bijugatus"
"Miconia minutiflora"
"Miconia spicellata"
"Miconia squamulosa"
"Mimosa trianae"
"Monoon longifolium"
"Moquilea tomentosa"
"Morinda citrifolia"
"Moringa oleifera"
"Morisonia amplissima"
"Morisonia odoratissima"
"Morus alba"
"Muntingia calabura"
"Murraya paniculata"
"Myrcia popayanensis"
"Myrcia selloi"
"Myrcia splendens"
"Myroxylon balsamum"
"Myrsine guianensis"
"Nectandra villosa"
"Nerium oleander"
"Nicotiana glauca"
"Ochna thomasiana"
"Ochroma pyramidale"
"Ocotea aurantiodora"
"Ocotea cf. tessmannii"
"Ocotea sp."
"Oenocarpus bataua"
"Olea europaea"
"Ormosia velutina"
"Pachira aquatica"
"Pachira glabra"
"Pachira insignis"
"Pachira speciosa"
"Pachypodium lamerei"
"Palicourea sp."
"Pandanus utilis"
"Parkinsonia aculeata"
"Paulownia tomentosa"
"Peltogyne paniculata"
"Peltophorum pterocarpum"
"Pereskia grandifolia"
"Persea americana"
"Persea caerulea"
"Petrea volubilis"
"Phenax mexicanus"
"Phoenix canariensis"
"Phoenix dactylifera"
"Phoenix reclinata"
"Phoenix roebelenii"
"Phyllanthus acidus"
"Phyllanthus acuminatus"
"Phytolacca dioica"
"Pimenta dioica"
"Pimenta racemosa"
"Pinus caribaea"
"Pinus oocarpa"
"Pinus patula"
"Pinus radiata"
"Piper aduncum"
"Piper auritum"
"Piper tuberculatum"
"Pithecellobium dulce"
"Pithecellobium lanceolatum"
"Pittosporum undulatum"
"Platycladus orientalis"
"Platymiscium pinnatum"
"Platypodium elegans"
"Plectrocarpa carrapo"
"Plinia cauliflora"
"Plumeria alba"
"Plumeria cutinifolia"
"Plumeria pudica"
"Plumeria rubra"
"Podocarpus macrophyllus"
"Podocarpus oleifolius"
"Posoqueria latifolia"
"Posoqueria longiflora"
"Pouteria caimito"
"Pouteria sapota"
"Pritchardia pacifica"
"Prosopis juliflora"
"Protium apiculatum"
"Prunus domestica"
"Pseudalbizzia niopoides"
"Pseudobombax ellipticum"
"Pseudobombax septenatum"
"Pseudolmedia laevigata"
"Pseudosamanea guachapele"
"Psidium cattleianum"
"Psidium friedrichsthalianum"
"Psidium guajava"
"Psychotria micrantha"
"Pterocarpus indicus"
"Pterocarpus officinalis"
"Pterogyne nitens"
"Ptychosperma elegans"
"Ptychosperma macarthurii"
"Punica granatum"
"Pyracantha coccinea"
"Radermachera sinica"
"Ravenala madagascariensis"
"Ravenea rivularis"
"Retrophyllum rospigliosii"
"Rhapis excelsa"
"Ricinus communis"
"Roupala montana"
"Roystonea oleracea"
"Roystonea regia"
"Sabal mauritiiformis"
"Sabal palmetto"
"Salix babylonica"
"Salix humboldtiana"
"Samanea saman"
"Sambucus nigra"
"Santalum album"
"Sapindus saponaria"
"Saribus rotundifolius"
"Schefflera arboricola"
"Schinus terebinthifolia"
"Schizolobium parahyba"
"Senna mexicana"
"Senna pistaciifolia"
"Senna polyphylla"
"Senna reticulata"
"Senna siamea"
"Senna spectabilis"
"Simarouba amara"
"Sin Identificar"
"Siparuna aspera"
"Solanum americanum"
"Solanum donianum"
"Solanum umbellatum"
"Solanum wrightii"
"Spathodea campanulata"
"Spondias dulcis"
"Spondias mombin"
"Spondias purpurea"
"Sterculia apetala"
"Swietenia macrophylla"
"Swinglea glutinosa"
"Syagrus romanzoffiana"
"Syagrus sancona"
"Syzygium cumini"
"Syzygium jambos"
"Syzygium malaccense"
"Syzygium phillyreifolium"
"Tabebuia heterophylla"
"Tabebuia ochracea (Cham.) Standl."
"Tabebuia rosea"
"Tabebuia roseoalba"
"Tabernaemontana litoralis"
"Tabernaemontana persicariifolia"
"Tamarindus indica"
"Tecoma stans"
"Tectona grandis"
"Terminalia amazonia"
"Terminalia bellirica"
"Terminalia buceras"
"Terminalia catappa"
"Terminalia ivorensis"
"Tetrorchidium rubrivenium"
"Theobroma cacao"
"Theobroma grandiflorum"
"Thespesia populnea"
"Tipuana tipu"
"Toxicodendron striatum"
"Trema micrantha"
"Trichanthera gigantea"
"Trichilia pallida"
"Triphasia trifolia"
"Triplaris americana"
"Triplaris weigeltiana"
"Trophis caucana"
"Urera baccifera"
"Vachellia farnesiana "
"Veitchia arecina"
"Vernicia fordii"
"Vismia guianensis"
"Vitex cymosa"
"Washingtonia filifera"
"Washingtonia robusta"
"Wettinia kalbreyeri"
"Wodyetia bifurcata"
"Xylopia aromatica"
"Xylopia ligustrifolia"
"Xylosma spiculifera"
"Yucca arborescens"
"Yucca gigantea"
"Zanthoxylum fagara"
"Zanthoxylum gentryi"
"Zanthoxylum rhoifolium"
"Zanthoxylum schreberi"
"Zygia longifolia"
