"especie","registros"
"Zanthoxylum fagara","75"
"Vachellia farnesiana ","74"
"Urera baccifera","72"
"Ficus dendrocida","72"
"Pinus patula","71"
"Pseudobombax septenatum","71"
"Gossypium barbadense","69"
"Dypsis decaryi","67"
"Huertea glandulosa","66"
"Spondias purpurea","64"
"Elaeis oleifera","61"
"Handroanthus serratifolius","60"
"Ladenbergia oblongifolia","59"
"Eucalyptus deglupta","59"
"Citrus aurantiifolia","59"
"Artocarpus heterophyllus","56"
"Jatropha integerrima","55"
"Sabal mauritiiformis","55"
"Ficus crassinervia","54"
"Pouteria caimito","52"
"Lagerstroemia indica","51"
"Mimosa trianae","51"
"Dypsis lastelliana","51"
"Phyllanthus acuminatus","49"
"Citharexylum subflavescens","47"
"Chrysophyllum cainito","47"
"Ficus carica","47"
"Eucalyptus globulus","46"
"Acacia melanoxylon","45"
"Chrysobalanus icaco","44"
"Morisonia odoratissima","41"
"Cinnamomum verum","40"
"Ormosia velutina","40"
"Cecropia angustifolia","39"
"Eucalyptus camaldulensis","38"
"Bombax ceiba","38"
"Euphorbia cotinifolia","37"
"Petrea volubilis","37"
"Malpighia emarginata","36"
"Sambucus nigra","36"
"Alstonia scholaris","35"
"Duranta mutisii","34"
"Terminalia ivorensis","33"
"Zygia longifolia","32"
"Casuarina equisetifolia","32"
"Elaeagnus angustifolia","32"
"Phoenix dactylifera","32"
"Tectona grandis","31"
"Flacourtia jangomas","31"
"Pterogyne nitens","31"
"Heptapleurum arboricola","31"
"Erythrina variegata","31"
"Pinus oocarpa","30"
"Saribus rotundifolius","30"
"Vitex cymosa","29"
"Citrus ×microcarpa","29"
"Prosopis juliflora","29"
"Solanum wrightii","28"
"Gardenia jasminoides","28"
"Posoqueria longiflora","28"
"Bunchosia argentea","28"
"Cordia lutea","27"
"Cassia javanica","27"
"Solanum americanum","27"
"Triphasia trifolia","27"
"Psidium cattleianum","27"
"Ficus pertusa","26"
"Pouteria sapota","25"
"Juglans neotropica","25"
"Henriettea goudotiana","25"
"Monoon longifolium","25"
"Andira inermis","25"
"Prunus domestica","24"
"Tetrorchidium rubrivenium","24"
"Ptychosperma elegans","24"
"Ficus sp.","23"
"Erythrina rubrinervia","23"
"Ficus americana","23"
"Casearia sylvestris","22"
"Hyophorbe verschaffeltii","22"
"Senna polyphylla","22"
"Kigelia africana","22"
"Nectandra villosa","22"
"Macadamia integrifolia","22"
"Euterpe oleracea","21"
"Erythrina edulis","21"
"Phoenix reclinata","20"
"Albizia julibrissin","19"
"Inga marginata","18"
"Himatanthus articulatus","18"
"Piper auritum","18"
"Posoqueria latifolia","18"
"Couratari guianensis","18"
"Casearia corymbosa","17"
"Dendropanax arboreus","17"
"Heliocarpus americanus","17"
"Bursera simaruba","17"
"Garcia nutans","17"
"Ficus popenoei","16"
"Hibiscus elatus","16"
"Crateva tapia","15"
"Machaerium capote","15"
"Calliandra riparia","15"
"Punica granatum","14"
"Pachira glabra","14"
"Euphorbia pulcherrima","14"
"Piper tuberculatum","13"
"Litchi chinensis","13"
"Cordia tetrandra","12"
"Gustavia speciosa","12"
"Podocarpus oleifolius","12"
"Parkinsonia aculeata","12"
"Hyophorbe lagenicaulis","12"
"Calliandra purdiei","11"
"Cycas circinalis","11"
"Melaleuca glauca","11"
"Hevea guianensis","11"
"Cajanus cajan","10"
"Melaleuca quinquenervia","10"
"Olea europaea","10"
"Syzygium phillyreifolium","9"
"Salix humboldtiana","9"
"Jacaranda obtusifolia","9"
"Homalolepis cedron","9"
"Geonoma undata","8"
"Hamelia patens","8"
"Livistona decora","8"
"Luehea seemannii","8"
"Phoenix canariensis","8"
"Ficus benghalensis","8"
"Tabebuia roseoalba","8"
"Ravenea rivularis","8"
"Morus alba","8"
"Cariniana pyriformis","7"
"Leuenbergeria bleo","7"
"Terminalia amazonia","7"
"Pseudalbizzia niopoides","7"
"Dalbergia retusa","7"
"Caryodendron orinocense","7"
"Fraxinus americana","7"
"Ficus rubiginosa","7"
"Peltogyne paniculata","7"
"Ficus cyathistipula","7"
"Cinnamomum camphora","7"
"Albizia saman","6"
"Cassia moschata","6"
"Pseudolmedia laevigata","6"
"Callistemon citrinus","6"
"Vernicia fordii","6"
"Coccoloba caracasana","6"
"Eugenia stipitata","6"
"Psychotria micrantha","5"
"Citrus medica","5"
"Cespedesia spathulata","5"
"Corymbia torelliana","5"
"Gynerium sagittatum","5"
"Tabebuia ochracea (Cham.) Standl.","5"
"Euterpe precatoria","5"
"Sabal palmetto","5"
"Brunfelsia latifolia","4"
"Lonchocarpus sericeus","4"
"Eugenia pyriformis","4"
"Solanum donianum","4"
"Carludovica palmata","4"
"Lecythis tuyrana","4"
"Ficus tonduzii","4"
"Juniperus rigida","4"
"Xylopia aromatica","4"
"Senna mexicana","4"
"Acer saccharum","4"
"Calophyllum brasiliense","4"
"Cyatheaceae sp. 01","4"
"Nicotiana glauca","4"
"Radermachera sinica","4"
"Grevillea robusta","4"
"Rhapis excelsa","4"
"Cordia dentata","4"
"Zanthoxylum schreberi","4"
"Koelreuteria elegans","4"
"Santalum album","4"
"Ficus clusiifolia","4"
"Retrophyllum rospigliosii","3"
"Pinus caribaea","3"
"Clinostigma ponapense","3"
"Theobroma grandiflorum","3"
"Adansonia digitata","3"
"Dillenia indica","3"
