"nombre_cientifico","reg"
"Calliandra schultzei","65"
"Clusia multiflora","64"
"Maclura tinctoria","64"
"Muntingia calabura","64"
"Cinnamomum cinnamomifolium","63"
"Eucalyptus deglupta","63"
"Ceiba speciosa","62"
"Lagerstroemia indica","62"
"Areca catechu","61"
"Malpighia glabra","61"
"Ptychosperma macarthurii","60"
"Trichilia pallida","60"
"Dracaena draco","59"
"Jatropha integerrima","59"
"Ormosia velutina","59"
"Posoqueria latifolia","59"
"Eriobotrya japonica","58"
"Sambucus nigra","58"
"Citharexylum subflavescens","57"
"Eucalyptus?�globulus","54"
"Plumeria cutinifolia","54"
"Pouteria caimito","53"
"Tabernaemontana litoralis","53"
"Dracaena reflexa","50"
"Pinus oocarpa","49"
"Euphorbia cotinifolia","48"
"Pinus patula","48"
"Himatanthus articulatus","47"
"Caryodendron orinocense","46"
"Senna pistaciifolia","46"
"Bunchosia argentea","43"
"Ficus microcarpa","43"
"Ricinus communis","43"
"Albizia carbonaria","42"
"Euphorbia pulcherrima","42"
"Schizolobium parahyba","42"
"Casuarina equisetifolia","40"
"Ficus carica","40"
"Ficus pertusa","40"
"Ficus sp","40"
"Sabal palmetto","40"
"Polyscias fruticosa","39"
"Tessaria integrifolia","39"
"Cassia javanica","38"
"Juglans neotropica","38"
"Acasia mangium","37"
"Punica granatum","37"
"Andira inermis","36"
"Chrysobalanus icaco","36"
"Duranta aurea","36"
"Ficus religiosa","34"
"Acacia melanoxylon","33"
"Lafoensia acuminata","32"
"Spondias dulcis","32"
"Jatropha curcas","31"
"Brugmansia arborea","30"
"Piper aduncum","30"
"Allamanda cathartica","29"
"Chrysophyllum cainito","27"
"Polyscias filicifolia","27"
"Arundinaria nitida","26"
"Carludovica palmata","26"
"Chamaedorea seifrizii","26"
"Cupania americana","26"
"Aiphanes horrida","25"
"Retrophyllum rospigliosii","25"
"Tamarindus indica","25"
"Dracaena sanderiana","24"
"Lysiloma latisiliquum","24"
"Pereskia bleo","24"
"Phyllostachys aurea","24"
"Pyracantha coccinea","24"
"Solanum macranthum","24"
"Euterpe precatoria","23"
"Ficus tolimensi","23"
"Erythrina edulis","21"
"Ficus decora","21"
"Salix babylonica","21"
"Tabernaemontana persicariifolia","21"
"Terminalia amazonica","21"
"Dracaena arborea","19"
"Lacistema aggregatum","19"
"Tabebuia roseoalba","19"
"Ficus elongata","18"
"Morus alba","18"
"Myrsine guianensis","18"
"Peltogyne paniculata","18"
"Pseudobombax septenatum","18"
"Bombacopsis quinata","17"
"Jatropha multifida","17"
"Schefflera morototoni","17"
"Tetrorchidium rubrivenium","17"
"Calliandra purdiei","16"
"Gossypium barbadense","16"
"Cespedesia spathulata","15"
"Rhapis excelsa","15"
"Cordia lutea","14"
"Huertea granadina","14"
"Laetia acuminata","14"
"Didymopanax morototoni","13"
"Dracaena marginata","13"
"Dracaena surculosa","13"
"Hibiscus elatus","13"
"Jacaranda obtusifolia","13"
"Tectona grandis","13"
"Cecropia obtusifolia","12"
"Chloroleucon mangense","12"
"Fraxinus americana","12"
"Licuala grandis","12"
"Pinus radiata","12"
"Cryosophila kalbreyeri","11"
"Trichilia goudotiana","11"
"Triplaris weigeltiana","11"
"Crateva tapia","9"
"Ficus benghalensis","9"
"Kigelia africana","9"
"Mimosa pigra","9"
"Oenocarpus bataua","9"
"Parkinsonia aculeata","9"
"Quadrella odoratissima","9"
"Veitchia montgomeriana","9"
"Galphimia gracilis","8"
"Heliocarpus popayanensis","8"
"Senna polyphylla","8"
"Adenaria sp","7"
"Adenium sp","7"
"Chamaedorea tepejilote","7"
"Couratari guianensis","7"
"Ficus palmirana","7"
"Handroanthus serratifolius","7"
"Jasminum oliganthum","7"
"Juglans cinerea","7"
"Litchi chinensis","7"
"Macadamia integrifolia","7"
"Olea europaea","7"
"Pseudolmedia laevigata","7"
"Rosa sp.","7"
"Solanum verbascifolium","7"
"Toxicodendron striatum","7"
"Artocarpus heterophyllus","6"
"Borojoa patinoi","6"
"Cajanus cajan","6"
"Cinnamomum zeylanicum","6"
"Hyiphorbe verschaffeltii","6"
"Luehea seemannii","6"
"Rollinia mucosa","6"
"Schefflera arboricola","6"
"Senecio formosus","6"
"Casearia corymbosa","5"
"Ficus rubiginosa","5"
"Gynerium sagittatum","5"
"Hamamelis mollis","5"
"Pinus caribaea","5"
"Uncaria tomentosa","5"
"Vismia guianensis","5"
"Acca sellowiana","4"
"Brunellia comocladifolia","4"
"Burugmancia aurea","4"
"Euterpe cuatrecasana","4"
"Leythis tuyarana","4"
"Tibouchina sp","4"
"Vernicia fordii","4"
"Xylopia ligustrifolia","4"
"Annona reticulata","3"
"Baccharis sp","3"
"Burugmancia arborea","3"
"Cananga sp","3"
"Cordia tetrandra","3"
"Cupressus macrocarpa","3"
"Eugania aggregata","3"
"Eugenia pyriformis","3"
"Eugenia stipitata","3"
"Galphimia glauca","3"
"Grevillea robusta","3"
"Huertea glandulosa","3"
"Annona glabra","2"
"Billia columbiana","2"
"Breynia nivosa","2"
"Byrsonima spicata","2"
"Cordyline fruticosa","2"
"Euphorbia milii","2"
"Livistona chinensis","2"
"Magnolia delavayi","2"
"Ocotea sp","2"
"Pandanus utilis","2"
"Podacarpus oleifolius","2"
"Randia aculeata","2"
"Santalum album","2"
"Terminalia ivorensis","2"
"Acalypha achimenes","1"
"Acalypha amentacea","1"
"Amaranthus caudatus","1"
"Arce nigrun","1"
"Chlorocardium rodiei","1"
"Citrus mitis","1"
"Citrus sinensis","1"
"Cymbopogon citratus","1"
"Dalbergia retusa","1"
"Elaeagnus angustifolia","1"
"Ficus clusiifolia","1"
"Ficus cyathistipula","1"
