"caespecie","reg"
"Syzygium phillyreifolium","1"
"Annona mucosa","1"
"Lafoensia acuminata","1"
"Juniperus rigida","1"
"Tabernaemontana persicariifolia","1"
"Inga spectabilis","1"
"Euphorbia cotinifolia","1"
"Ficus velutina","1"
"Ficus carica","1"
"Handroanthus serratifolius","1"
"Chloroleucon mangense","1"
"Chrysophyllum cainito","1"
"Cinnamomum verum","1"
"Pinus oocarpa","1"
"Phyllanthus acuminatus","1"
"Prosopis juliflora","1"
"Prunus domestica","1"
"Persea caerulea","1"
"Psidium friedrichsthalianum","1"
