"caespecie","reg"
"Swinglea glutinosa","1085"
"Geoffroea spinosa","946"
"Cenostigma pluviosum","915"
"Dypsis lutescens","708"
"Mangifera indica","618"
"Terminalia catappa","497"
"Adonidia merrillii","462"
"Ficus benjamina","392"
"Tabebuia rosea","373"
"Annona muricata","334"
"Melicoccus bijugatus","267"
"Megaskepasma erythrochlamys","247"
"Roystonea regia","231"
"Cascabela thevetia","226"
"Persea americana","196"
"Spathodea campanulata","162"
"Platycladus orientalis","140"
"Sin Identificar","138"
"Citrus limon","125"
"Pithecellobium dulce","120"
"Samanea saman","120"
"Malpighia glabra","118"
"Psidium guajava","117"
"Morinda citrifolia","95"
"Araucaria columnaris","92"
"Crescentia cujete","86"
"Cananga odorata","76"
"Heptapleurum actinophyllum","73"
"Guazuma ulmifolia","69"
"Moringa oleifera","69"
"Bauhinia purpurea","68"
"Murraya paniculata","66"
"Citrus ×aurantium","65"
"Jacaranda caucana","63"
"Plumeria rubra","58"
"Coccoloba uvifera","57"
"Handroanthus chrysanthus","55"
"Clitoria fairchildiana","54"
"Senna siamea","53"
"Ficus obtusifolia","53"
"Pimenta racemosa","53"
"Syzygium malaccense","52"
"Cassia fistula","51"
"Cocos nucifera","51"
"Delonix regia","49"
"Catalpa longissima","49"
"Elaeis guineensis","46"
"Lagerstroemia speciosa","42"
"Blighia sapida","39"
"Pachira aquatica","39"
"Senna spectabilis","38"
"Erythroxylum coca","37"
"Caesalpinia pulcherrima","35"
"Ceiba pentandra","35"
"Syagrus sancona","34"
"Gliricidia sepium","33"
"Averrhoa carambola","33"
"Melaleuca citrina","33"
"Inga edulis","32"
"Livistona chinensis","32"
"Leucaena leucocephala","30"
"Guaiacum officinale","29"
"Washingtonia filifera","28"
"Plumeria alba","28"
"Tabebuia heterophylla","27"
"Cupressus sempervirens","26"
"Annona squamosa","26"
"Ficus elastica","25"
"Dypsis madagascariensis","25"
"Solanum umbellatum","24"
"Moquilea tomentosa","24"
"Terminalia buceras","23"
"Brunfelsia uniflora","22"
"Sapindus saponaria","22"
"Citrus reticulata","21"
"Peltophorum pterocarpum","21"
"Ceiba speciosa","21"
"Trichanthera gigantea","20"
"Roystonea oleracea","20"
"Genipa americana","19"
"Swietenia macrophylla","19"
"Cordia sebestena","18"
"Bauhinia variegata","18"
"Bursera tomentosa","18"
"Plectrocarpa carrapo","18"
"Handroanthus ochraceus","16"
"Cnidoscolus aconitifolius","16"
"Phoenix roebelenii","16"
"Simarouba amara","15"
"Pachira speciosa","15"
"Couroupita guianensis","14"
"Thespesia populnea","14"
"Calliandra haematocephala","14"
"Platymiscium pinnatum","14"
"Bixa orellana","13"
"Cedrela odorata","13"
"Phyllanthus acidus","13"
"Vachellia farnesiana ","13"
"Ficus microcarpa","13"
"Brownea grandiceps","12"
"Bismarckia nobilis","12"
"Cupressus lusitanica","12"
"Theobroma cacao","12"
"Anacardium excelsum","11"
"Cycas revoluta","11"
"Eriobotrya japonica","11"
"Annona cherimola","10"
"Matisia cordata","10"
"Azadirachta indica","10"
"Fraxinus chinensis","10"
"Cestrum nocturnum","10"
"Wodyetia bifurcata","9"
"Ficus variegata","9"
"Ficus religiosa","9"
"Bunchosia armeniaca","9"
"Muntingia calabura","9"
"Jacaranda hesperia","9"
"Artocarpus altilis","9"
"Syzygium jambos","9"
"Veitchia arecina","8"
"Ochroma pyramidale","8"
"Anacardium occidentale","8"
"Ficus lyrata","8"
"Eugenia uniflora","7"
