"caespecie","reg"
"Guazuma ulmifolia","464"
"Dypsis lutescens","424"
"Swinglea glutinosa","390"
"Persea americana","282"
"Mangifera indica","266"
"Adonidia merrillii","235"
"Roystonea regia","231"
"Cenostigma pluviosum","206"
"Pithecellobium dulce","200"
"Annona muricata","158"
"Sin Identificar","151"
"Samanea saman","123"
"Citrus limon","92"
"Megaskepasma erythrochlamys","89"
"Cascabela thevetia","73"
"Jacaranda caucana","72"
"Tabebuia rosea","71"
"Trichanthera gigantea","70"
"Solanum umbellatum","68"
"Ficus benjamina","65"
"Terminalia catappa","61"
"Tecoma stans","61"
"Psidium guajava","61"
"Geoffroea spinosa","59"
"Sapindus saponaria","56"
"Citrus reticulata","55"
"Malpighia glabra","55"
"Melicoccus bijugatus","53"
"Leucaena leucocephala","53"
"Cnidoscolus aconitifolius","50"
"Syagrus romanzoffiana","46"
"Spathodea campanulata","45"
"Ficus obtusifolia","44"
"Calliandra pittieri","43"
"Ceiba pentandra","41"
"Platycladus orientalis","36"
"Phoenix roebelenii","35"
"Eucalyptus grandis","35"
"Clitoria fairchildiana","32"
"Ochroma pyramidale","31"
"Cocos nucifera","31"
"Citharexylum subflavescens","31"
"Senna spectabilis","30"
"Elaeis guineensis","30"
"Murraya paniculata","29"
"Inga edulis","27"
"Brownea grandiceps","26"
"Caesalpinia pulcherrima","26"
"Citrus ×aurantium","26"
"Washingtonia filifera","25"
"Araucaria columnaris","24"
"Attalea butyracea","24"
"Dypsis madagascariensis","24"
"Brunfelsia uniflora","22"
"Heptapleurum actinophyllum","22"
"Roystonea oleracea","20"
"Ravenala madagascariensis","20"
"Plumeria alba","19"
"Syagrus sancona","19"
"Aiouea montana","18"
"Genipa americana","18"
"Senna siamea","16"
"Livistona chinensis","16"
"Bunchosia armeniaca","16"
"Bambusa vulgaris","16"
"Crescentia cujete","15"
"Codiaeum variegatum","14"
"Archontophoenix alexandrae","14"
"Cecropia peltata","14"
"Lafoensia punicifolia","13"
"Gliricidia sepium","13"
"Solanum americanum","13"
"Enterolobium cyclocarpum","12"
"Pachira aquatica","12"
"Guarea guidonia","12"
"Brugmansia arborea","12"
"Cassia fistula","12"
"Cedrela odorata","11"
"Bixa orellana","11"
"Croton gossypiifolius","11"
"Caryota mitis","11"
"Guadua angustifolia","11"
"Morinda citrifolia","11"
"Moquilea tomentosa","10"
"Bismarckia nobilis","10"
"Cupressus lusitanica","10"
"Erythroxylum coca","10"
"Pseudosamanea guachapele","9"
"Delonix regia","9"
"Anacardium excelsum","9"
"Muntingia calabura","8"
"Trichilia pallida","8"
"Calliandra haematocephala","8"
"Spondias purpurea","7"
"Piper auritum","7"
"Trema micrantha","7"
"Couroupita guianensis","7"
"Simarouba amara","7"
"Spondias dulcis","7"
"Ricinus communis","6"
"Sambucus nigra","6"
"Cordia alliodora","6"
"Ficus variegata","6"
"Myrcia popayanensis","6"
"Swietenia macrophylla","6"
"Eriobotrya japonica","6"
"Annona squamosa","6"
"Schinus terebinthifolia","6"
"Matisia cordata","5"
"Ficus elastica","5"
"Cycas revoluta","5"
"Thespesia populnea","5"
"Syzygium cumini","5"
"Hura crepitans","5"
"Inga spectabilis","5"
"Blighia sapida","5"
"Jacaranda hesperia","5"
"Plumeria rubra","5"
"Pritchardia pacifica","5"
"Tamarindus indica","5"
"Artocarpus altilis","5"
"Cananga odorata","5"
"Pseudobombax septenatum","5"
"Aiphanes horrida","4"
"Cupressus sempervirens","4"
"Phyllanthus acidus","4"
"Pinus patula","4"
"Caryota urens","4"
"Archontophoenix cunninghamiana","4"
"Zanthoxylum schreberi","4"
"Bactris gasipaes","4"
"Theobroma cacao","4"
"Melaleuca citrina","4"
"Ficus lyrata","4"
"Albizia carbonaria","4"
"Moringa oleifera","3"
"Adenanthera pavonina","3"
"Annona glabra","3"
"Annona reticulata","3"
"Calliandra tweedii","3"
"Casuarina equisetifolia","3"
"Cestrum nocturnum","3"
"Eucalyptus camaldulensis","3"
"Eugenia uniflora","3"
"Ficus carica","3"
"Ficus dendrocida","3"
"Ficus insipida","3"
"Garcinia madruno","3"
"Handroanthus chrysanthus","3"
"Handroanthus ochraceus","3"
"Hymenaea courbaril","3"
"Jacaranda copaia","3"
"Mammea americana","3"
"Myrcia selloi","3"
"Psidium friedrichsthalianum","3"
"Sterculia apetala","3"
"Syzygium malaccense","3"
"Wodyetia bifurcata","3"
"Pimenta racemosa","2"
"Myrsine guianensis","2"
"Pouteria caimito","2"
"Monoon longifolium","2"
"Achatocarpus nigricans","2"
"Ptychosperma macarthurii","2"
"Huertea glandulosa","2"
"Hibiscus elatus","2"
"Senna reticulata","2"
"Guaiacum officinale","2"
"Flacourtia indica","2"
"Euphorbia pulcherrima","2"
"Zanthoxylum gentryi","2"
"Erythrina poeppigiana","2"
"Cupania glabra","2"
"Crateva tapia","2"
"Syzygium jambos","2"
"Zanthoxylum rhoifolium","2"
"Cinnamomum verum","2"
"Cecropia obtusifolia","2"
"Averrhoa carambola","2"
"Annona mucosa","2"
"Urera baccifera","2"
"Washingtonia robusta","2"
"Piper tuberculatum","2"
"Pinus oocarpa","2"
"Bursera tomentosa","1"
"Ficus tonduzii","1"
"Ficus crassinervia","1"
