"caespecie","reg"
"Geoffroea spinosa","1597"
"Dypsis lutescens","1184"
"Swinglea glutinosa","1046"
"Cenostigma pluviosum","1038"
"Tabebuia rosea","701"
"Mangifera indica","695"
"Ficus benjamina","606"
"Adonidia merrillii","591"
"Terminalia catappa","508"
"Annona muricata","431"
"Platycladus orientalis","365"
"Roystonea regia","350"
"Samanea saman","350"
"Clitoria fairchildiana","224"
"Persea americana","224"
"Melicoccus bijugatus","221"
"Cascabela thevetia","218"
"Spathodea campanulata","207"
"Pithecellobium dulce","201"
"Araucaria columnaris","198"
"Sin Identificar","192"
"Handroanthus chrysanthus","187"
"Crescentia cujete","169"
"Morinda citrifolia","149"
"Cocos nucifera","125"
"Citrus limon","119"
"Roystonea oleracea","118"
"Psidium guajava","113"
"Washingtonia filifera","113"
"Ficus binnendijkii","112"
"Senna siamea","102"
"Delonix regia","97"
"Heptapleurum actinophyllum","93"
"Wodyetia bifurcata","93"
"Leucaena leucocephala","90"
"Citrus ×aurantium","90"
"Guazuma ulmifolia","88"
"Murraya paniculata","76"
"Jacaranda caucana","75"
"Cassia fistula","74"
"Blighia sapida","70"
"Syzygium malaccense","68"
"Malpighia glabra","65"
"Ceiba pentandra","61"
"Sapindus saponaria","58"
"Elaeis guineensis","58"
"Plumeria rubra","55"
"Senna spectabilis","54"
"Citrus reticulata","52"
"Moquilea tomentosa","52"
"Averrhoa carambola","46"
"Moringa oleifera","43"
"Bauhinia purpurea","42"
"Phoenix roebelenii","38"
"Cupressus sempervirens","38"
"Pimenta racemosa","38"
"Plumeria alba","37"
"Syzygium cumini","36"
"Simarouba amara","36"
"Melaleuca citrina","35"
"Caryota urens","34"
"Ficus elastica","34"
"Dypsis madagascariensis","33"
"Ficus variegata","33"
"Cananga odorata","32"
"Gliricidia sepium","29"
"Trichanthera gigantea","29"
"Pachira aquatica","29"
"Enterolobium cyclocarpum","28"
"Pritchardia pacifica","28"
"Handroanthus ochraceus","28"
"Guaiacum officinale","28"
"Caesalpinia pulcherrima","25"
"Cnidoscolus aconitifolius","24"
"Bauhinia variegata","24"
"Swietenia macrophylla","24"
"Catalpa longissima","24"
"Thespesia populnea","23"
"Cassia grandis","23"
"Bixa orellana","22"
"Peltophorum pterocarpum","22"
"Erythrina poeppigiana","21"
"Cupressus lusitanica","21"
"Syagrus sancona","20"
"Cordia alliodora","19"
"Livistona chinensis","19"
"Matisia cordata","19"
"Tabebuia heterophylla","19"
"Azadirachta indica","18"
"Hymenaea courbaril","17"
"Pachira speciosa","17"
"Myrcia selloi","17"
"Veitchia arecina","16"
"Plectrocarpa carrapo","16"
"Artocarpus altilis","16"
"Cedrela odorata","16"
"Ceiba speciosa","16"
"Anacardium excelsum","16"
"Ficus lyrata","16"
"Spondias dulcis","16"
"Annona squamosa","16"
"Licuala grandis","15"
"Adenanthera pavonina","15"
"Lagerstroemia speciosa","15"
"Platymiscium pinnatum","15"
"Bismarckia nobilis","15"
"Cycas revoluta","14"
"Syzygium jambos","14"
"Bursera tomentosa","13"
"Anacardium occidentale","12"
"Pseudosamanea guachapele","12"
"Inga edulis","12"
"Ficus pertusa","12"
"Couroupita guianensis","12"
"Archontophoenix alexandrae","11"
"Brownea grandiceps","11"
"Bunchosia armeniaca","11"
"Ficus obtusifolia","10"
"Coccoloba acuminata","10"
"Flacourtia indica","10"
"Eugenia uniflora","9"
"Genipa americana","9"
"Pachira insignis","9"
"Tecoma stans","8"
"Prosopis juliflora","8"
"Calliandra pittieri","8"
"Gmelina arborea","8"
"Terminalia buceras","8"
"Syagrus romanzoffiana","8"
"Eriobotrya japonica","7"
"Fraxinus chinensis","7"
"Coccoloba uvifera","7"
"Solanum umbellatum","7"
"Megaskepasma erythrochlamys","6"
"Ravenala madagascariensis","6"
"Hura crepitans","6"
"Ficus carica","6"
"Acacia mangium","6"
"Phyllanthus acidus","6"
"Ixora finlaysoniana","6"
"Chrysophyllum cainito","5"
"Citrus aurantiifolia","5"
"Jacaranda hesperia","5"
"Lafoensia punicifolia","5"
"Gossypium barbadense","5"
"Libidibia punctata","5"
"Calliandra haematocephala","5"
"Melaleuca glauca","5"
"Bauhinia picta","5"
"Schinus terebinthifolia","5"
"Areca catechu","5"
"Saribus rotundifolius","5"
"Ormosia velutina","5"
"Ficus crassinervia","5"
"Spondias mombin","5"
"Jacaranda copaia","4"
"Eucalyptus grandis","4"
"Jatropha curcas","4"
"Euphorbia aphylla","4"
"Theobroma cacao","4"
"Manilkara zapota","4"
"Brunfelsia uniflora","4"
"Bactris gasipaes","4"
"Annona reticulata","4"
"Calliandra tweedii","4"
"Tamarindus indica","4"
"Schizolobium parahyba","4"
"Ptychosperma macarthurii","4"
"Annona cherimola","3"
"Ficus insipida","3"
"Cordia sebestena","3"
"Washingtonia robusta","3"
"Ficus benghalensis","3"
"Luma apiculata","3"
"Tabernaemontana litoralis","3"
"Albizia carbonaria","3"
"Annona mucosa","3"
"Annona glabra","3"
"Acacia melanoxylon","3"
"Trichilia pallida","3"
"Pithecellobium lanceolatum","3"
"Pouteria caimito","3"
"Jatropha integerrima","3"
"Lafoensia acuminata","3"
"Archontophoenix cunninghamiana","3"
"Sterculia apetala","3"
"Plinia cauliflora","2"
"Aiouea montana","2"
"Aiphanes horrida","2"
"Caryota mitis","2"
"Casuarina equisetifolia","2"
"Cestrum nocturnum","2"
"Citrus ×microcarpa","2"
"Codiaeum variegatum","2"
"Cordia tetrandra","2"
"Croton gossypiifolius","2"
"Dypsis decaryi","2"
"Elaeagnus angustifolia","2"
"Ficus microcarpa","2"
"Ficus popenoei","2"
"Ficus rubiginosa","2"
"Guarea guidonia","2"
"Mammea americana","2"
"Monoon longifolium","2"
"Ochroma pyramidale","2"
"Pinus radiata","2"
"Posoqueria longiflora","2"
"Pouteria sapota","2"
"Psidium friedrichsthalianum","2"
"Senna polyphylla","2"
"Senna reticulata","2"
"Vitex cymosa","2"
"Punica granatum","1"
"Pinus patula","1"
"Rhapis excelsa","1"
"Ricinus communis","1"
"Pinus oocarpa","1"
"Phytolacca dioica","1"
"Salix humboldtiana","1"
"Persea caerulea","1"
"Sambucus nigra","1"
"Peltogyne paniculata","1"
"Nerium oleander","1"
"Muntingia calabura","1"
"Morisonia odoratissima","1"
"Albizia julibrissin","1"
"Achatocarpus nigricans","1"
"Melia azedarach","1"
"Malpighia emarginata","1"
"Machaerium capote","1"
"Licania tomentosa (Benth.) Fritsch","1"
"Solanum americanum","1"
"Jacaranda obtusifolia","1"
"Inga spectabilis","1"
"Heptapleurum arboricola","1"
"Heliocarpus americanus","1"
"Guadua angustifolia","1"
"Ficus religiosa","1"
"Eucalyptus deglupta","1"
"Eucalyptus camaldulensis","1"
"Erythrina variegata","1"
"Erythrina rubrinervia","1"
"Erythrina fusca","1"
"Dypsis lastelliana","1"
"Syzygium phillyreifolium","1"
"Cyrtostachys renda","1"
"Cycas circinalis","1"
"Tabebuia roseoalba","1"
"Cupaniopsis anacardioides","1"
"Couratari guianensis","1"
"Cecropia peltata","1"
"Casimiroa edulis","1"
"Calliandra riparia","1"
"Terminalia ivorensis","1"
"Caesalpinia ebano H. Karst.","1"
"Bulnesia carrapo Killip y Dugand","1"
"Brugmansia arborea","1"
"Bambusa vulgaris","1"
"Artocarpus heterophyllus","1"
