"caespecie","reg"
"Geoffroea spinosa","540"
"Cenostigma pluviosum","395"
"Swinglea glutinosa","324"
"Dypsis lutescens","311"
"Terminalia catappa","277"
"Cascabela thevetia","254"
"Ficus benjamina","240"
"Adonidia merrillii","213"
"Mangifera indica","211"
"Roystonea regia","166"
"Platycladus orientalis","149"
"Tabebuia rosea","138"
"Malpighia glabra","89"
"Annona muricata","82"
"Caesalpinia pulcherrima","67"
"Sin Identificar","53"
"Araucaria columnaris","52"
"Morinda citrifolia","50"
"Persea americana","50"
"Crescentia cujete","45"
"Spathodea campanulata","44"
"Melicoccus bijugatus","42"
"Elaeis guineensis","42"
"Cananga odorata","41"
"Clitoria fairchildiana","36"
"Pithecellobium dulce","35"
"Moquilea tomentosa","34"
"Murraya paniculata","34"
"Citrus ×aurantium","30"
"Ficus elastica","29"
"Cocos nucifera","29"
"Pachira aquatica","28"
"Citrus limon","26"
"Catalpa longissima","26"
"Senna siamea","26"
"Handroanthus chrysanthus","25"
"Cupressus sempervirens","25"
"Psidium guajava","24"
"Samanea saman","23"
"Jacaranda caucana","23"
"Megaskepasma erythrochlamys","22"
"Ficus obtusifolia","19"
"Syzygium malaccense","19"
"Ceiba pentandra","19"
"Sterculia apetala","19"
"Dypsis madagascariensis","19"
"Calliandra pittieri","18"
"Heptapleurum actinophyllum","18"
"Plumeria rubra","18"
"Delonix regia","18"
"Syagrus sancona","16"
"Pachira speciosa","15"
"Tabebuia heterophylla","15"
"Pimenta racemosa","15"
"Guaiacum officinale","15"
"Thespesia populnea","15"
"Syzygium cumini","14"
"Terminalia buceras","14"
"Erythroxylum coca","13"
"Washingtonia filifera","13"
"Peltophorum pterocarpum","13"
"Phoenix roebelenii","12"
"Tecoma stans","12"
"Bauhinia purpurea","11"
"Senna spectabilis","11"
"Ficus microcarpa","10"
"Averrhoa carambola","10"
"Ixora finlaysoniana","10"
"Eriobotrya japonica","10"
"Inga edulis","10"
"Roystonea oleracea","9"
"Coccoloba uvifera","9"
"Calliandra haematocephala","8"
"Spondias dulcis","8"
"Guazuma ulmifolia","8"
"Cassia fistula","8"
"Jacaranda hesperia","8"
"Veitchia arecina","8"
"Solanum umbellatum","8"
"Cupressus lusitanica","7"
"Plumeria alba","7"
"Triplaris americana","7"
"Annona squamosa","7"
"Syagrus romanzoffiana","7"
"Moringa oleifera","6"
"Lagerstroemia speciosa","6"
"Adenanthera pavonina","6"
"Couroupita guianensis","6"
"Livistona chinensis","6"
"Ficus variegata","6"
"Plectrocarpa carrapo","6"
"Handroanthus ochraceus","5"
"Pseudosamanea guachapele","5"
"Cedrela odorata","5"
"Cordia alliodora","5"
"Anacardium occidentale","5"
"Azadirachta indica","5"
"Licuala grandis","5"
"Gliricidia sepium","5"
"Cassia grandis","5"
"Blighia sapida","5"
"Eugenia uniflora","5"
"Citrus reticulata","5"
"Acacia mangium","4"
"Areca catechu","4"
"Bunchosia armeniaca","4"
"Ceiba speciosa","4"
"Ficus binnendijkii","4"
"Ficus lyrata","4"
"Gmelina arborea","4"
"Lafoensia punicifolia","4"
"Pachira insignis","4"
"Phyllanthus acidus","4"
"Pinus radiata","4"
"Pritchardia pacifica","4"
"Sapindus saponaria","4"
"Genipa americana","3"
"Annona cherimola","3"
"Bursera simaruba","3"
"Cestrum nocturnum","3"
"Koelreuteria elegans","3"
"Codiaeum variegatum","3"
"Ricinus communis","3"
"Matisia cordata","2"
"Jacaranda copaia","2"
"Gardenia jasminoides","2"
"Fraxinus chinensis","2"
"Anacardium excelsum","2"
"Platymiscium pinnatum","2"
"Euphorbia aphylla","2"
"Albizia julibrissin","2"
"Prunus domestica","2"
"Pseudobombax septenatum","2"
"Dalbergia retusa","2"
"Cycas revoluta","2"
"Cordia sebestena","2"
"Senna reticulata","2"
"Chrysobalanus icaco","2"
"Brunfelsia uniflora","2"
"Syzygium jambos","2"
"Brownea grandiceps","2"
"Bixa orellana","2"
"Tabernaemontana litoralis","2"
"Bauhinia variegata","2"
"Bauhinia picta","2"
"Libidibia punctata","2"
"Erythrina variegata","1"
"Bismarckia nobilis","1"
"Handroanthus serratifolius","1"
"Cyrtostachys renda","1"
"Leucaena leucocephala","1"
"Tamarindus indica","1"
"Zygia longifolia","1"
"Schizolobium parahyba","1"
"Lagerstroemia indica","1"
"Colubrina arborescens","1"
"Hymenaea courbaril","1"
"Simarouba amara","1"
"Coccoloba acuminata","1"
"Clusia multiflora","1"
"Citrus aurantiifolia","1"
"Citrus ×microcarpa","1"
"Spondias purpurea","1"
"Manilkara zapota","1"
"Swietenia macrophylla","1"
"Guadua angustifolia","1"
"Ochroma pyramidale","1"
"Gossypium barbadense","1"
"Myrcia selloi","1"
"Jatropha integerrima","1"
"Cassia javanica","1"
"Vachellia farnesiana ","1"
"Pimenta dioica","1"
"Flacourtia indica","1"
"Kigelia africana","1"
"Ficus religiosa","1"
"Ficus insipida","1"
"Bambusa vulgaris","1"
"Ficus crassinervia","1"
"Plinia cauliflora","1"
"Ficus americana","1"
"Archontophoenix alexandrae","1"
"Podocarpus oleifolius","1"
"Trichanthera gigantea","1"
"Syzygium phillyreifolium","1"
"Melaleuca citrina","1"
