"caespecie","reg"
"Terminalia catappa","813"
"Dypsis lutescens","706"
"Adonidia merrillii","517"
"Mangifera indica","483"
"Geoffroea spinosa","456"
"Annona muricata","382"
"Persea americana","336"
"Tabebuia rosea","323"
"Melicoccus bijugatus","274"
"Cenostigma pluviosum","273"
"Morinda citrifolia","266"
"Roystonea regia","206"
"Moringa oleifera","202"
"Samanea saman","200"
"Pithecellobium dulce","197"
"Sin Identificar","183"
"Swinglea glutinosa","182"
"Psidium guajava","162"
"Cascabela thevetia","157"
"Ficus benjamina","150"
"Platycladus orientalis","137"
"Citrus limon","116"
"Cocos nucifera","115"
"Plumeria rubra","113"
"Gliricidia sepium","105"
"Spathodea campanulata","104"
"Cassia fistula","98"
"Cordia alliodora","96"
"Crescentia cujete","90"
"Caesalpinia pulcherrima","88"
"Elaeis guineensis","87"
"Trichanthera gigantea","79"
"Clitoria fairchildiana","78"
"Guazuma ulmifolia","76"
"Araucaria columnaris","75"
"Cnidoscolus aconitifolius","73"
"Malpighia glabra","70"
"Citrus ×aurantium","57"
"Ficus obtusifolia","57"
"Azadirachta indica","56"
"Ceiba pentandra","49"
"Syagrus sancona","44"
"Coccoloba uvifera","43"
"Handroanthus chrysanthus","41"
"Erythrina poeppigiana","38"
"Senna spectabilis","38"
"Wodyetia bifurcata","37"
"Delonix regia","37"
"Washingtonia filifera","35"
"Blighia sapida","34"
"Senna siamea","32"
"Senna reticulata","32"
"Couroupita guianensis","31"
"Sapindus saponaria","30"
"Leucaena leucocephala","30"
"Annona squamosa","30"
"Spondias dulcis","30"
"Heptapleurum actinophyllum","29"
"Artocarpus altilis","28"
"Inga edulis","26"
"Theobroma cacao","25"
"Murraya paniculata","25"
"Livistona chinensis","25"
"Piper aduncum","24"
"Ficus insipida","24"
"Jacaranda caucana","23"
"Tecoma stans","23"
"Bursera tomentosa","22"
"Syzygium malaccense","21"
"Cedrela odorata","21"
"Swietenia macrophylla","21"
"Matisia cordata","21"
"Cananga odorata","20"
"Averrhoa carambola","20"
"Lafoensia punicifolia","19"
"Phyllanthus acidus","19"
"Citrus reticulata","19"
"Pseudosamanea guachapele","19"
"Plumeria alba","19"
"Solanum umbellatum","18"
"Anacardium excelsum","18"
"Bauhinia picta","18"
"Syzygium cumini","17"
"Jacaranda hesperia","16"
"Bauhinia variegata","16"
"Ceiba speciosa","16"
"Bactris gasipaes","14"
"Roystonea oleracea","13"
"Bixa orellana","13"
"Muntingia calabura","13"
"Brownea grandiceps","12"
"Moquilea tomentosa","12"
"Tabebuia heterophylla","11"
"Calliandra pittieri","11"
"Bauhinia purpurea","11"
"Lagerstroemia speciosa","10"
"Pimenta racemosa","10"
"Bismarckia nobilis","10"
"Syzygium jambos","10"
"Psidium friedrichsthalianum","10"
"Ficus variegata","10"
"Melaleuca citrina","10"
"Guarea guidonia","10"
"Melia azedarach","10"
"Pouteria caimito","10"
"Ficus elastica","9"
"Eugenia uniflora","9"
"Maclura tinctoria","9"
"Citrus aurantiifolia","9"
"Handroanthus ochraceus","9"
"Cycas revoluta","8"
"Phoenix roebelenii","8"
"Pachira aquatica","8"
"Acacia melanoxylon","8"
"Annona cherimola","8"
"Genipa americana","8"
"Manilkara zapota","7"
"Euphorbia aphylla","7"
"Ficus microcarpa","7"
"Sabal mauritiiformis","7"
"Simarouba amara","7"
"Terminalia ivorensis","7"
"Zygia longifolia","7"
"Anacardium occidentale","6"
"Ormosia velutina","6"
"Brugmansia arborea","6"
"Pithecellobium lanceolatum","6"
"Guaiacum officinale","6"
"Myrcia selloi","6"
"Bunchosia armeniaca","6"
"Calliandra haematocephala","6"
"Cassia grandis","6"
"Attalea butyracea","6"
"Caryota urens","5"
"Fraxinus chinensis","5"
"Annona reticulata","5"
"Gossypium barbadense","5"
"Sterculia apetala","5"
"Syagrus romanzoffiana","5"
"Hura crepitans","4"
