"caespecie","reg"
"Cenostigma pluviosum","3695"
"Tabebuia rosea","2211"
"Dypsis lutescens","2177"
"Adonidia merrillii","1705"
"Mangifera indica","1618"
"Geoffroea spinosa","1596"
"Roystonea regia","1413"
"Swinglea glutinosa","934"
"Pithecellobium dulce","898"
"Ficus benjamina","863"
"Samanea saman","785"
"Terminalia catappa","699"
"Elaeis guineensis","656"
"Melicoccus bijugatus","613"
"Guazuma ulmifolia","589"
"Spathodea campanulata","540"
"Annona muricata","420"
"Cascabela thevetia","416"
"Sin Identificar","396"
"Crescentia cujete","360"
"Jacaranda caucana","341"
"Persea americana","340"
"Platycladus orientalis","321"
"Handroanthus chrysanthus","316"
"Plectrocarpa carrapo","277"
"Cananga odorata","263"
"Citrus limon","250"
"Heptapleurum actinophyllum","245"
"Syagrus sancona","234"
"Catalpa longissima","215"
"Senna siamea","208"
"Sapindus saponaria","188"
"Phoenix roebelenii","186"
"Pimenta racemosa","183"
"Malpighia glabra","181"
"Lagerstroemia speciosa","180"
"Araucaria columnaris","179"
"Delonix regia","166"
"Dypsis madagascariensis","159"
"Murraya paniculata","154"
"Citrus ×aurantium","143"
"Ceiba pentandra","143"
"Cupressus sempervirens","137"
"Cordia alliodora","135"
"Citrus reticulata","134"
"Washingtonia filifera","127"
"Roystonea oleracea","127"
"Bauhinia purpurea","123"
"Ficus elastica","122"
"Plumeria rubra","118"
"Psidium guajava","116"
"Senna spectabilis","115"
"Couroupita guianensis","114"
"Cocos nucifera","112"
"Clitoria fairchildiana","111"
"Cassia fistula","106"
"Syzygium malaccense","104"
"Caesalpinia pulcherrima","104"
"Terminalia buceras","100"
"Washingtonia robusta","99"
"Melaleuca citrina","94"
"Moringa oleifera","93"
"Thespesia populnea","85"
"Leucaena leucocephala","85"
"Cnidoscolus aconitifolius","83"
"Morinda citrifolia","79"
"Ficus obtusifolia","72"
"Pachira speciosa","72"
"Simarouba amara","71"
"Peltophorum pterocarpum","71"
"Enterolobium cyclocarpum","70"
"Wodyetia bifurcata","69"
"Pachira aquatica","68"
"Handroanthus ochraceus","67"
"Tabebuia heterophylla","62"
"Genipa americana","59"
"Syzygium cumini","58"
"Hymenaea courbaril","58"
"Cedrela odorata","57"
"Ficus lyrata","56"
"Moquilea tomentosa","55"
"Blighia sapida","55"
"Syzygium jambos","53"
"Plumeria alba","52"
"Caryota urens","51"
"Erythroxylum coca","49"
"Achatocarpus nigricans","49"
"Megaskepasma erythrochlamys","48"
"Caryota mitis","48"
"Inga edulis","47"
"Solanum umbellatum","47"
"Libidibia punctata","46"
"Eugenia uniflora","45"
"Livistona chinensis","45"
"Adenanthera pavonina","45"
"Bunchosia armeniaca","44"
"Annona squamosa","43"
"Guadua angustifolia","42"
"Swietenia macrophylla","41"
"Bauhinia variegata","41"
"Calliandra pittieri","40"
"Cyrtostachys renda","40"
"Azadirachta indica","40"
"Pseudosamanea guachapele","39"
"Phyllanthus acidus","39"
"Pritchardia pacifica","38"
"Bismarckia nobilis","36"
"Jacaranda hesperia","35"
"Ficus variegata","35"
"Artocarpus altilis","34"
"Ravenala madagascariensis","34"
"Attalea butyracea","33"
"Cycas revoluta","33"
"Brownea grandiceps","33"
"Bambusa vulgaris","33"
"Tabernaemontana litoralis","32"
"Guaiacum officinale","32"
"Ptychosperma macarthurii","31"
"Platymiscium pinnatum","31"
"Tecoma stans","30"
"Averrhoa carambola","30"
"Pachira insignis","29"
"Hura crepitans","28"
"Erythrina poeppigiana","27"
"Cupressus lusitanica","27"
"Lafoensia punicifolia","26"
"Aiouea montana","26"
"Ochroma pyramidale","26"
"Brunfelsia uniflora","25"
"Anacardium excelsum","25"
"Gliricidia sepium","24"
"Cassia grandis","23"
"Trichanthera gigantea","23"
"Ficus insipida","22"
"Ficus microcarpa","22"
"Myrcia selloi","22"
"Areca catechu","21"
"Flacourtia indica","21"
"Matisia cordata","20"
"Coccoloba uvifera","20"
"Schizolobium parahyba","20"
"Sterculia apetala","20"
"Syagrus romanzoffiana","20"
"Cestrum nocturnum","19"
"Licuala grandis","19"
"Ficus religiosa","18"
"Pinus radiata","17"
"Cecropia peltata","15"
"Miconia minutiflora","15"
"Muntingia calabura","15"
