"caespecie","reg"
"Cenostigma pluviosum","4289"
"Dypsis lutescens","3627"
"Adonidia merrillii","2963"
"Mangifera indica","2593"
"Geoffroea spinosa","2583"
"Tabebuia rosea","2448"
"Pithecellobium dulce","2223"
"Samanea saman","2190"
"Roystonea regia","1647"
"Guazuma ulmifolia","1460"
"Jacaranda caucana","1434"
"Annona muricata","1134"
"Ficus benjamina","1128"
"Swinglea glutinosa","1092"
"Spathodea campanulata","1037"
"Sin Identificar","1030"
"Terminalia catappa","904"
"Persea americana","788"
"Platycladus orientalis","773"
"Clitoria fairchildiana","716"
"Senna siamea","675"
"Elaeis guineensis","499"
"Handroanthus chrysanthus","471"
"Moquilea tomentosa","434"
"Washingtonia filifera","427"
"Senna spectabilis","392"
"Melicoccus bijugatus","389"
"Araucaria columnaris","340"
"Citrus limon","337"
"Crescentia cujete","332"
"Citrus reticulata","331"
"Sapindus saponaria","328"
"Roystonea oleracea","310"
"Ceiba pentandra","298"
"Syzygium malaccense","297"
"Cupressus sempervirens","295"
"Cocos nucifera","289"
"Phoenix roebelenii","271"
"Psidium guajava","263"
"Heptapleurum actinophyllum","252"
"Murraya paniculata","245"
"Couroupita guianensis","236"
"Cedrela odorata","234"
"Citrus ×aurantium","234"
"Pseudosamanea guachapele","232"
"Cananga odorata","228"
"Enterolobium cyclocarpum","225"
"Syagrus sancona","224"
"Cordia alliodora","222"
"Cascabela thevetia","220"
"Inga edulis","218"
"Guarea guidonia","213"
"Plumeria rubra","212"
"Bauhinia purpurea","200"
"Jacaranda hesperia","197"
"Delonix regia","191"
"Leucaena leucocephala","185"
"Morinda citrifolia","182"
"Anacardium excelsum","164"
"Bauhinia variegata","163"
"Catalpa longissima","156"
"Hymenaea courbaril","156"
"Caesalpinia pulcherrima","144"
"Gliricidia sepium","142"
"Dypsis madagascariensis","140"
"Cecropia peltata","139"
"Trichanthera gigantea","138"
"Cassia grandis","131"
"Pachira aquatica","129"
"Bauhinia picta","126"
"Artocarpus altilis","122"
"Cassia fistula","122"
"Bixa orellana","121"
"Albizia carbonaria","121"
"Genipa americana","120"
"Azadirachta indica","116"
"Brunfelsia uniflora","110"
"Calliandra pittieri","110"
"Syzygium cumini","110"
"Handroanthus ochraceus","108"
"Erythrina poeppigiana","103"
"Simarouba amara","102"
"Theobroma cacao","102"
"Syagrus romanzoffiana","99"
"Croton gossypiifolius","98"
"Swietenia macrophylla","95"
"Melaleuca citrina","91"
"Cupressus lusitanica","84"
"Terminalia buceras","81"
"Ficus variegata","81"
"Adenanthera pavonina","78"
"Moringa oleifera","76"
"Bunchosia armeniaca","76"
"Pimenta racemosa","74"
"Malpighia glabra","73"
"Pachira speciosa","72"
"Syzygium jambos","72"
"Tabebuia heterophylla","72"
"Wodyetia bifurcata","72"
"Annona squamosa","72"
"Plumeria alba","71"
"Aiouea montana","70"
"Sterculia apetala","68"
"Pritchardia pacifica","67"
"Livistona chinensis","67"
"Ficus obtusifolia","66"
"Solanum umbellatum","66"
"Guadua angustifolia","66"
"Caryota mitis","64"
"Maclura tinctoria","61"
"Brownea grandiceps","58"
"Elaeis oleifera","56"
"Averrhoa carambola","55"
"Cycas revoluta","54"
"Hura crepitans","54"
"Ochroma pyramidale","53"
"Guaiacum officinale","53"
"Lafoensia punicifolia","51"
"Tecoma stans","51"
"Lagerstroemia speciosa","49"
"Megaskepasma erythrochlamys","49"
"Archontophoenix alexandrae","46"
"Acacia mangium","46"
"Cyrtostachys renda","45"
"Spondias dulcis","45"
"Ficus elastica","43"
"Matisia cordata","43"
"Phyllanthus acidus","43"
"Jacaranda copaia","42"
"Fraxinus chinensis","42"
"Caryota urens","42"
"Ficus lyrata","42"
"Zanthoxylum rhoifolium","40"
"Ficus insipida","40"
"Muntingia calabura","40"
"Trichilia pallida","37"
"Bismarckia nobilis","36"
"Persea caerulea","35"
"Eugenia uniflora","34"
"Peltophorum pterocarpum","34"
"Senna reticulata","33"
"Anacardium occidentale","33"
"Blighia sapida","32"
"Psidium friedrichsthalianum","31"
"Cestrum nocturnum","31"
"Garcinia madruno","30"
"Licuala grandis","29"
