"caespecie","reg"
"Geoffroea spinosa","1606"
"Swinglea glutinosa","1098"
"Cenostigma pluviosum","911"
"Mangifera indica","826"
"Dypsis lutescens","800"
"Ficus benjamina","711"
"Terminalia catappa","555"
"Adonidia merrillii","473"
"Tabebuia rosea","389"
"Platycladus orientalis","361"
"Cascabela thevetia","292"
"Annona muricata","290"
"Roystonea regia","285"
"Guaiacum officinale","246"
"Melicoccus bijugatus","243"
"Sin Identificar","220"
"Araucaria columnaris","213"
"Persea americana","204"
"Samanea saman","135"
"Pithecellobium dulce","126"
"Morinda citrifolia","118"
"Spathodea campanulata","107"
"Murraya paniculata","92"
"Guazuma ulmifolia","87"
"Psidium guajava","79"
"Elaeis guineensis","75"
"Plumeria rubra","73"
"Clitoria fairchildiana","71"
"Citrus ×aurantium","67"
"Roystonea oleracea","65"
"Catalpa longissima","62"
"Plectrocarpa carrapo","62"
"Pimenta racemosa","61"
"Cocos nucifera","60"
"Handroanthus chrysanthus","59"
"Citrus limon","57"
"Cassia fistula","56"
"Heptapleurum actinophyllum","56"
"Leucaena leucocephala","54"
"Washingtonia filifera","52"
"Enterolobium cyclocarpum","51"
"Delonix regia","44"
"Crescentia cujete","42"
"Cnidoscolus aconitifolius","42"
"Cananga odorata","42"
"Malpighia glabra","41"
"Myrcia selloi","40"
"Pritchardia pacifica","40"
"Thespesia populnea","40"
"Ficus elastica","39"
"Moringa oleifera","38"
"Jacaranda caucana","36"
"Moquilea tomentosa","36"
"Pachira speciosa","36"
"Peltophorum pterocarpum","35"
"Phyllanthus acidus","34"
"Caesalpinia pulcherrima","34"
"Ficus obtusifolia","32"
"Syzygium malaccense","31"
"Senna siamea","31"
"Simarouba amara","30"
"Cassia grandis","30"
"Cupressus sempervirens","30"
"Pachira aquatica","29"
"Blighia sapida","29"
"Plumeria alba","27"
"Bauhinia purpurea","27"
"Ceiba pentandra","27"
"Dypsis madagascariensis","27"
"Ficus variegata","24"
"Trichanthera gigantea","24"
"Sapindus saponaria","24"
"Coccoloba uvifera","22"
"Calliandra pittieri","21"
"Tabebuia heterophylla","21"
"Syagrus sancona","20"
"Syzygium cumini","20"
"Annona squamosa","19"
"Handroanthus ochraceus","19"
"Citrus reticulata","18"
"Phoenix roebelenii","18"
"Ixora finlaysoniana","17"
"Averrhoa carambola","17"
"Licuala grandis","17"
"Lagerstroemia speciosa","16"
"Cycas revoluta","16"
"Cupressus lusitanica","16"
"Terminalia buceras","16"
"Wodyetia bifurcata","15"
"Matisia cordata","15"
"Couroupita guianensis","15"
"Azadirachta indica","14"
"Caryota mitis","14"
"Cedrela odorata","13"
"Pachira insignis","13"
"Lafoensia punicifolia","13"
"Gliricidia sepium","13"
"Bauhinia variegata","12"
"Tecoma stans","12"
"Melaleuca citrina","12"
"Genipa americana","12"
"Gossypium barbadense","12"
"Caryota urens","12"
"Senna spectabilis","12"
"Adenanthera pavonina","11"
"Brownea grandiceps","11"
"Anacardium occidentale","10"
"Eugenia uniflora","10"
"Syzygium jambos","10"
"Livistona chinensis","10"
