"caespecie","reg"
"Geoffroea spinosa","1241"
"Cenostigma pluviosum","1136"
"Swinglea glutinosa","979"
"Dypsis lutescens","955"
"Ficus benjamina","749"
"Mangifera indica","571"
"Terminalia catappa","545"
"Adonidia merrillii","414"
"Tabebuia rosea","412"
"Cascabela thevetia","300"
"Annona muricata","273"
"Roystonea regia","270"
"Platycladus orientalis","242"
"Sin Identificar","232"
"Araucaria columnaris","225"
"Melicoccus bijugatus","217"
"Pithecellobium dulce","158"
"Persea americana","147"
"Samanea saman","122"
"Morinda citrifolia","120"
"Murraya paniculata","119"
"Malpighia glabra","112"
"Heptapleurum actinophyllum","98"
"Citrus ×aurantium","77"
"Spathodea campanulata","75"
"Jacaranda caucana","74"
"Cananga odorata","72"
"Pachira aquatica","71"
"Crescentia cujete","69"
"Cocos nucifera","64"
"Citrus limon","61"
"Citrus reticulata","60"
"Handroanthus chrysanthus","59"
"Psidium guajava","58"
"Delonix regia","56"
"Sapindus saponaria","55"
"Bauhinia purpurea","55"
"Plumeria rubra","54"
"Cassia fistula","49"
"Simarouba amara","49"
"Ceiba pentandra","48"
"Senna siamea","47"
"Syzygium malaccense","46"
"Guazuma ulmifolia","44"
"Syzygium cumini","42"
"Catalpa longissima","41"
"Elaeis guineensis","35"
"Moringa oleifera","34"
"Blighia sapida","34"
"Gliricidia sepium","33"
"Annona squamosa","33"
"Pimenta racemosa","31"
"Phoenix roebelenii","30"
"Trichanthera gigantea","27"
"Clitoria fairchildiana","27"
"Cupressus lusitanica","26"
"Syagrus sancona","25"
"Erythroxylum coca","24"
"Cupressus sempervirens","23"
"Caesalpinia pulcherrima","23"
"Ficus obtusifolia","22"
"Fraxinus chinensis","21"
"Tabebuia heterophylla","20"
"Ficus variegata","20"
"Bauhinia variegata","19"
"Azadirachta indica","19"
"Flacourtia indica","19"
"Inga edulis","18"
"Tecoma stans","18"
"Melaleuca citrina","18"
"Washingtonia filifera","18"
"Ficus elastica","17"
"Averrhoa carambola","17"
"Codiaeum variegatum","16"
"Moquilea tomentosa","16"
"Plumeria alba","15"
"Enterolobium cyclocarpum","15"
"Megaskepasma erythrochlamys","15"
"Peltophorum pterocarpum","15"
"Pseudosamanea guachapele","15"
"Senna spectabilis","15"
"Calliandra pittieri","14"
"Artocarpus altilis","14"
"Brunfelsia uniflora","13"
"Cordia sebestena","13"
"Matisia cordata","13"
"Cedrela odorata","13"
"Dypsis madagascariensis","12"
"Archontophoenix alexandrae","12"
"Bunchosia armeniaca","12"
"Thespesia populnea","12"
"Leucaena leucocephala","12"
"Caryota mitis","10"
"Cnidoscolus aconitifolius","10"
"Bursera tomentosa","10"
"Brownea grandiceps","10"
"Couroupita guianensis","10"
"Wodyetia bifurcata","9"
"Ravenala madagascariensis","9"
"Albizia carbonaria","9"
"Syzygium jambos","9"
"Livistona chinensis","9"
"Eucalyptus grandis","9"
"Eugenia uniflora","9"
"Lafoensia punicifolia","9"
"Ixora finlaysoniana","9"
"Guaiacum officinale","9"
"Guarea guidonia","9"
"Swietenia macrophylla","8"
"Cordia alliodora","8"
"Licuala grandis","7"
"Plectrocarpa carrapo","7"
"Bauhinia picta","7"
"Posoqueria longiflora","6"
"Schinus terebinthifolia","6"
"Brugmansia arborea","6"
"Lagerstroemia speciosa","6"
"Phyllanthus acidus","6"
"Tabernaemontana litoralis","6"
"Pritchardia pacifica","5"
"Euphorbia aphylla","5"
"Cestrum nocturnum","5"
"Jatropha integerrima","5"
"Genipa americana","5"
"Bismarckia nobilis","5"
"Adenanthera pavonina","5"
"Plinia cauliflora","5"
"Cycas revoluta","5"
"Roystonea oleracea","5"
"Ptychosperma macarthurii","5"
"Annona glabra","4"
"Senna reticulata","4"
"Spondias dulcis","4"
"Cajanus cajan","4"
"Ficus lyrata","4"
"Terminalia buceras","4"
"Cassia grandis","4"
"Heptapleurum arboricola","4"
"Sabal mauritiiformis","4"
"Anacardium occidentale","3"
"Phyllanthus acuminatus","3"
"Solanum umbellatum","3"
"Trema micrantha","3"
"Bactris gasipaes","3"
"Cyrtostachys renda","3"
"Calliandra tweedii","3"
"Ficus microcarpa","3"
"Manilkara zapota","3"
"Handroanthus ochraceus","3"
"Platymiscium pinnatum","3"
"Bixa orellana","3"
"Hymenaea courbaril","3"
