"caespecie","reg"
"Caryota urens","3"
"Ficus insipida","3"
"Hura crepitans","2"
"Ficus carica","2"
"Ficus cyathistipula","2"
"Ficus pertusa","2"
"Coccoloba uvifera","2"
"Chrysobalanus icaco","2"
"Malpighia emarginata","2"
"Mammea americana","2"
"Triphasia trifolia","2"
"Morus alba","2"
"Pachira glabra","2"
"Phoenix dactylifera","2"
"Calliandra haematocephala","2"
"Pseudobombax septenatum","2"
"Aiphanes horrida","2"
"Punica granatum","2"
"Rhapis excelsa","2"
"Saribus rotundifolius","2"
"Senna polyphylla","2"
"Bambusa vulgaris","2"
"Tamarindus indica","2"
"Anacardium excelsum","2"
"Ptychosperma elegans","1"
"Triplaris americana","1"
"Colubrina arborescens","1"
"Paulownia tomentosa","1"
"Cordia lutea","1"
"Pachira speciosa","1"
"Muntingia calabura","1"
"Morisonia odoratissima","1"
"Cassia javanica","1"
"Monoon longifolium","1"
"Dypsis decaryi","1"
"Casuarina equisetifolia","1"
"Ficus binnendijkii","1"
"Melia azedarach","1"
"Cecropia peltata","1"
"Ceiba speciosa","1"
"Machaerium capote","1"
"Luma apiculata","1"
"Libidibia punctata","1"
"Solanum wrightii","1"
"Euphorbia pulcherrima","1"
"Jacaranda hesperia","1"
"Sterculia apetala","1"
"Erythrina fusca","1"
"Chrysophyllum cainito","1"
"Syagrus romanzoffiana","1"
"Attalea butyracea","1"
"Handroanthus serratifolius","1"
"Cinnamomum verum","1"
"Clusia multiflora","1"
"Annona reticulata","1"
"Guadua angustifolia","1"
"Gmelina arborea","1"
"Erythrina poeppigiana","1"
"Coccoloba caracasana","1"
"Gardenia jasminoides","1"
"Pinus radiata","1"
"Posoqueria latifolia","1"
"Pinus oocarpa","1"
"Pouteria caimito","1"
"Calliandra riparia","1"
"Prunus domestica","1"
"Eriobotrya japonica","1"
"Terminalia ivorensis","1"
"Bunchosia argentea","1"
