"caespecie","reg"
"Dypsis lutescens","743"
"Cenostigma pluviosum","635"
"Geoffroea spinosa","612"
"Swinglea glutinosa","564"
"Terminalia catappa","470"
"Adonidia merrillii","387"
"Tabebuia rosea","375"
"Mangifera indica","343"
"Annona muricata","294"
"Ficus benjamina","276"
"Melicoccus bijugatus","192"
"Roystonea regia","189"
"Cascabela thevetia","169"
"Sin Identificar","162"
"Samanea saman","153"
"Morinda citrifolia","138"
"Spathodea campanulata","135"
"Persea americana","133"
"Clitoria fairchildiana","125"
"Platycladus orientalis","120"
"Pithecellobium dulce","119"
"Leucaena leucocephala","116"
"Delonix regia","112"
"Plumeria rubra","111"
"Roystonea oleracea","107"
"Araucaria columnaris","95"
"Psidium guajava","83"
"Moringa oleifera","79"
"Citrus limon","79"
"Cnidoscolus aconitifolius","77"
"Cananga odorata","71"
"Senna siamea","66"
"Jacaranda caucana","65"
"Guaiacum officinale","60"
"Citrus ×aurantium","59"
"Cocos nucifera","58"
"Sapindus saponaria","50"
"Cordia alliodora","49"
"Cassia grandis","48"
"Heptapleurum actinophyllum","46"
"Bauhinia variegata","46"
"Fraxinus chinensis","46"
"Guazuma ulmifolia","45"
"Murraya paniculata","43"
"Handroanthus chrysanthus","43"
"Crescentia cujete","41"
"Blighia sapida","40"
"Trichanthera gigantea","38"
"Tabebuia heterophylla","37"
"Syagrus sancona","36"
"Ravenala madagascariensis","35"
"Gliricidia sepium","35"
"Washingtonia filifera","32"
"Syzygium malaccense","30"
"Catalpa longissima","30"
"Plectrocarpa carrapo","30"
"Bauhinia picta","30"
"Malpighia glabra","28"
"Elaeis guineensis","28"
"Bauhinia purpurea","27"
"Simarouba amara","26"
"Cassia fistula","25"
"Ficus insipida","25"
"Ficus obtusifolia","25"
"Ceiba pentandra","24"
"Caesalpinia pulcherrima","23"
"Duranta mutisii","23"
"Pachira aquatica","22"
"Ficus elastica","20"
"Terminalia buceras","20"
"Artocarpus altilis","18"
"Peltophorum pterocarpum","18"
"Alstonia scholaris","18"
"Thespesia populnea","16"
"Pritchardia pacifica","15"
"Eugenia uniflora","15"
"Moquilea tomentosa","15"
"Calliandra pittieri","15"
"Cedrela odorata","15"
"Dypsis madagascariensis","14"
"Phoenix roebelenii","14"
"Phyllanthus acidus","14"
"Brownea grandiceps","13"
"Citrus reticulata","13"
"Muntingia calabura","13"
"Senna spectabilis","13"
"Bixa orellana","13"
"Senna reticulata","13"
"Pachira insignis","13"
"Syzygium jambos","12"
"Caryota mitis","12"
"Bursera tomentosa","12"
"Morisonia odoratissima","12"
"Megaskepasma erythrochlamys","12"
"Annona squamosa","12"
"Pimenta racemosa","11"
"Himatanthus articulatus","11"
"Plumeria alba","11"
"Solanum umbellatum","10"
"Ficus crassinervia","10"
"Genipa americana","10"
"Eucalyptus grandis","9"
"Cupressus sempervirens","9"
"Hymenaea courbaril","9"
"Calliandra haematocephala","9"
"Melaleuca citrina","9"
"Cupressus lusitanica","9"
"Annona cherimola","8"
"Erythrina poeppigiana","8"
"Coccoloba uvifera","8"
"Averrhoa carambola","8"
"Cycas revoluta","8"
"Enterolobium cyclocarpum","8"
"Melia azedarach","8"
"Bunchosia armeniaca","8"
"Matisia cordata","7"
"Tecoma stans","7"
"Spondias dulcis","7"
"Inga edulis","7"
"Ptychosperma macarthurii","6"
"Ficus variegata","6"
"Flacourtia indica","6"
"Anacardium occidentale","6"
"Caryota urens","6"
"Handroanthus serratifolius","6"
"Brugmansia arborea","6"
"Cordia sebestena","5"
"Syzygium cumini","5"
"Azadirachta indica","5"
"Ceiba speciosa","5"
"Mammea americana","5"
"Cestrum nocturnum","5"
"Vernicia fordii","5"
"Myrcia selloi","5"
"Psidium friedrichsthalianum","5"
"Bactris gasipaes","5"
"Hura crepitans","5"
"Vachellia farnesiana ","4"
"Chrysobalanus icaco","4"
"Ficus microcarpa","4"
"Pachira speciosa","4"
"Sterculia apetala","4"
"Attalea butyracea","4"
"Pseudosamanea guachapele","4"
"Gmelina arborea","4"
"Gardenia jasminoides","4"
"Archontophoenix alexandrae","4"
"Ficus sp.","4"
"Ochroma pyramidale","4"
"Bismarckia nobilis","4"
"Erythrina variegata","4"
"Tabernaemontana litoralis","4"
"Adenanthera pavonina","4"
"Casearia corymbosa","3"
"Guadua angustifolia","3"
"Dypsis lastelliana","3"
"Handroanthus ochraceus","3"
"Couroupita guianensis","3"
"Jatropha curcas","3"
"Licuala grandis","3"
"Annona reticulata","3"
"Citrus ×microcarpa","3"
"Manilkara zapota","3"
"Acacia mangium","3"
"Spondias mombin","3"
"Phyllanthus acuminatus","3"
"Triplaris americana","2"
"Lagerstroemia speciosa","2"
"Anacardium excelsum","2"
"Colubrina arborescens","2"
"Lafoensia acuminata","2"
"Ixora finlaysoniana","2"
"Inga spectabilis","2"
"Homalolepis cedron","2"
"Gustavia speciosa","2"
"Guarea guidonia","2"
"Calliandra riparia","2"
"Ficus americana","2"
"Prunus domestica","2"
"Senna polyphylla","2"
"Ficus carica","2"
"Euphorbia cotinifolia","2"
"Sambucus nigra","2"
"Garcia nutans","2"
"Ricinus communis","2"
"Aiphanes horrida","2"
"Carludovica palmata","2"
"Eucalyptus camaldulensis","2"
"Platymiscium pinnatum","2"
"Euphorbia aphylla","2"
"Livistona chinensis","2"
"Leuenbergeria bleo","2"
"Zanthoxylum rhoifolium","1"
"Aiouea montana","1"
"Albizia carbonaria","1"
"Annona mucosa","1"
"Bambusa vulgaris","1"
"Brugmansia aurea","1"
"Brunfelsia latifolia","1"
"Brunfelsia uniflora","1"
"Calliandra tweedii","1"
"Cassia javanica","1"
"Casuarina equisetifolia","1"
"Cecropia peltata","1"
"Citrus aurantiifolia","1"
"Clusia multiflora","1"
"Cordia lutea","1"
"Crateva tapia","1"
"Croton gossypiifolius","1"
"Cyrtostachys renda","1"
"Elaeagnus angustifolia","1"
"Eriobotrya japonica","1"
"Erythrina fusca","1"
"Erythrina rubrinervia","1"
"Euphorbia pulcherrima","1"
"Ficus cyathistipula","1"
"Ficus lyrata","1"
"Ficus pertusa","1"
"Garcinia madruno","1"
"Gossypium barbadense","1"
"Hamelia patens","1"
"Jacaranda hesperia","1"
"Jatropha integerrima","1"
"Lafoensia punicifolia","1"
