"caespecie","reg"
"Terminalia catappa","1085"
"Geoffroea spinosa","922"
"Dypsis lutescens","913"
"Mangifera indica","664"
"Roystonea regia","616"
"Adonidia merrillii","585"
"Tabebuia rosea","564"
"Cenostigma pluviosum","530"
"Samanea saman","516"
"Annona muricata","477"
"Leucaena leucocephala","470"
"Pithecellobium dulce","429"
"Persea americana","408"
"Sin Identificar","315"
"Spathodea campanulata","274"
"Platycladus orientalis","244"
"Swinglea glutinosa","229"
"Morinda citrifolia","214"
"Guazuma ulmifolia","213"
"Melicoccus bijugatus","213"
"Citrus limon","196"
"Ficus benjamina","169"
"Cocos nucifera","168"
"Psidium guajava","168"
"Citrus ×aurantium","166"
"Crescentia cujete","157"
"Jacaranda caucana","130"
"Elaeis guineensis","119"
"Caesalpinia pulcherrima","117"
"Inga edulis","112"
"Moringa oleifera","100"
"Bauhinia variegata","91"
"Sapindus saponaria","89"
"Cascabela thevetia","85"
"Araucaria columnaris","85"
"Bauhinia purpurea","82"
"Delonix regia","80"
"Azadirachta indica","73"
"Handroanthus chrysanthus","68"
"Cassia fistula","67"
"Clitoria fairchildiana","65"
"Senna siamea","65"
"Ceiba pentandra","59"
"Cordia alliodora","52"
"Gliricidia sepium","51"
"Vachellia farnesiana ","51"
"Roystonea oleracea","49"
"Cananga odorata","48"
"Syzygium malaccense","48"
"Plumeria rubra","48"
"Moquilea tomentosa","47"
"Bauhinia picta","46"
"Citrus reticulata","44"
"Tecoma stans","43"
"Muntingia calabura","42"
"Averrhoa carambola","41"
"Senna spectabilis","41"
"Couroupita guianensis","39"
"Washingtonia filifera","38"
"Calliandra pittieri","36"
"Solanum umbellatum","35"
"Murraya paniculata","34"
"Trichanthera gigantea","33"
"Tabebuia heterophylla","32"
"Cedrela odorata","30"
"Bixa orellana","30"
"Heptapleurum actinophyllum","30"
"Cassia grandis","30"
"Artocarpus altilis","29"
"Melaleuca citrina","28"
"Ficus obtusifolia","28"
"Swietenia macrophylla","27"
"Genipa americana","27"
"Albizia carbonaria","27"
"Blighia sapida","25"
"Spondias dulcis","24"
"Jacaranda hesperia","24"
"Adenanthera pavonina","22"
"Cnidoscolus aconitifolius","22"
"Syagrus sancona","22"
"Dypsis madagascariensis","21"
"Pithecellobium lanceolatum","21"
"Syagrus romanzoffiana","20"
"Phyllanthus acidus","20"
