"caespecie","reg"
"Geoffroea spinosa","1837"
"Dypsis lutescens","1534"
"Platycladus orientalis","883"
"Terminalia catappa","741"
"Swinglea glutinosa","685"
"Annona muricata","621"
"Cenostigma pluviosum","597"
"Mangifera indica","554"
"Pithecellobium dulce","456"
"Adonidia merrillii","448"
"Persea americana","397"
"Tabebuia rosea","318"
"Sin Identificar","301"
"Ficus benjamina","258"
"Cocos nucifera","234"
"Citrus limon","216"
"Cascabela thevetia","204"
"Melicoccus bijugatus","203"
"Morinda citrifolia","195"
"Samanea saman","190"
"Roystonea regia","184"
"Jacaranda caucana","156"
"Psidium guajava","146"
"Araucaria columnaris","138"
"Moringa oleifera","136"
"Citrus ×aurantium","131"
"Spathodea campanulata","111"
"Roystonea oleracea","111"
"Cordia alliodora","102"
"Leucaena leucocephala","99"
"Crescentia cujete","97"
"Guazuma ulmifolia","90"
"Clitoria fairchildiana","87"
"Handroanthus chrysanthus","82"
"Cassia fistula","71"
"Plumeria rubra","64"
"Bauhinia purpurea","59"
"Heptapleurum actinophyllum","57"
"Bixa orellana","56"
"Megaskepasma erythrochlamys","55"
"Azadirachta indica","53"
"Cupressus sempervirens","51"
"Senna spectabilis","51"
"Senna siamea","44"
"Ficus obtusifolia","44"
"Erythroxylum coca","43"
"Cananga odorata","42"
"Malpighia glabra","41"
"Trichanthera gigantea","41"
"Inga edulis","41"
"Bauhinia variegata","39"
"Tecoma stans","39"
"Solanum umbellatum","39"
"Gliricidia sepium","38"
"Tabebuia heterophylla","38"
"Annona squamosa","36"
"Caesalpinia pulcherrima","35"
"Genipa americana","34"
"Murraya paniculata","32"
"Syzygium malaccense","31"
"Dypsis madagascariensis","31"
"Citrus reticulata","30"
"Cnidoscolus aconitifolius","29"
"Averrhoa carambola","29"
"Elaeis guineensis","29"
"Melaleuca citrina","28"
"Cassia grandis","26"
"Couroupita guianensis","25"
"Ceiba pentandra","24"
"Plumeria alba","24"
"Swietenia macrophylla","22"
"Calliandra pittieri","22"
"Guaiacum officinale","21"
"Jacaranda hesperia","21"
"Artocarpus altilis","20"
"Washingtonia filifera","20"
"Melia azedarach","20"
"Ficus elastica","20"
"Cupressus lusitanica","20"
"Ficus lyrata","20"
"Bauhinia picta","19"
"Phoenix roebelenii","19"
"Cycas revoluta","17"
"Sapindus saponaria","17"
"Sterculia apetala","17"
"Syzygium jambos","16"
"Coccoloba uvifera","15"
"Bactris gasipaes","15"
"Annona reticulata","14"
"Handroanthus ochraceus","14"
"Delonix regia","14"
"Bursera tomentosa","14"
"Terminalia buceras","14"
"Spondias dulcis","13"
"Matisia cordata","13"
"Phyllanthus acidus","13"
"Blighia sapida","12"
"Attalea butyracea","12"
"Brugmansia arborea","12"
"Moquilea tomentosa","11"
"Senna reticulata","11"
"Acacia mangium","11"
